Name,Description
Inner/Outer Thighs,"How to Perform this E-cise™

Lie on your side.
Rest your head on your hand and brace yourself with the other arm, placing your palm flat on the floor.
Bend the top leg and place your foot flat on the floor in front of your thigh.
Raise and lower the bottom leg up 3-4 inches off the floor then back to the floor.
Keep the thigh of the bottom leg tight and your toes flexed back.
Switch sides by stacking the legs, then bend the knee of the bottom leg back behind you.
Be sure your knees are stacked on top of each other.
Hold the top leg straight, with your thigh tight and your foot flexed.
Raise and lower the top leg for the number of repetitions given on your menu.
Repeat as directed on your menu.
Roll to the other side and repeat the entire sequence.

Fun Facts

Remember Jane Fonda and her crazy 80�s workouts? Well, turns out she wasn�t so crazy. This E-cise helps proper knee position and hip movement all while working the muscles of the leg and low back.  If it�s harder for you to do on one side vs. the other, this is asymmetry showing up in your body."
Cobra,"How to Perform this E-cise™

Lie on your stomach, propped up on your hands, toes together and heels relaxed/dropped out to sides.
Let your shoulder blades collapse together and keep your elbows extended.
Be sure to relax your buttocks muscles so that your heels drop out to sides.
Hold this position as directed on your menu.

Fun Facts

This exercise promotes proper lumbar extension through thoracic extension."
Runners Stretch,"How to Perform this E-cise™

Kneel on the floor and place the back of your left heel to the front of the right knee
Be sure that you are up on the toes of your right foot, with bottom of the foot pointing behind you
Keep the left foot, right knee and right foot in line with each other
Stand up and bend over while rolling your hips back to place an arch into your lower back
The heel of your right foot should now be on the floor
Tighten your thighs while relaxing your upper body
Keep your weight on the inside of each foot and keep your lower back arched
Hold as directed on your menu
Switch sides and repeat

Fun Facts

This exercise is designed to isolate the hamstrings under bilateral pelvic demand."
Wall Stork,"How to Perform this E-cise™

Stand with your back against the wall with your feet pointed straight and hip width apart.
Your heels, hips, upper back and head should be against the wall.
Place one foot upon a chair in front of you.
Your knee should be bent to 90 degrees, thigh parallel to floor.
Make sure that your foot is pointed straight.
Do not allow the down leg to bend.
Hold this position as directed on your menu.
Do not allow the leg/hip of the down leg to shift out to the side.
Switch legs and repeat.

Fun Facts

This exercise reseats the hip and re-educates the lumbar spine to stabilize."
ABduction-ADduction w/ Feet Close,"How to Perform this E-cise™

Lie on your back with your knees bent at a 90 degree angle and your feet flat on the wall.
Keep your feet parallel, spaced about 3 inches apart, and pointed to the ceiling.
Keep your upper body relaxed, with your palms up and your arms flat on the floor at about a 45 degree angle from your body.
Bring your knees together slowly until they touch.
Bring your knees apart slowly so that your feet roll out to the sides.
The bottoms of your feet will come off of the wall and the outsides of your feet will touch the wall.
Return your knees to the start position to complete one repetition of the e-cise.
Repeat as directed on your menu.

Fun Facts

Femur rotation is crucial for everyday movements such as sitting, getting in and out of a car, walking and running. This E-cise helps promote femur rotation at the hip joint and has specific emphasis on outward rotation."
Wall Drop,"How to Perform this E-cise™

Stand on a slantboard (or a step-ladder will do), feet pointed straight and hip width apart with your head, shoulders and butt against the wall.
Let your arms hang down at your sides.
Relax your stomach and upper body.
Do not allow your knees to bend.
You will feel a stretch in your calf/lower leg muscles.
Hold as directed on your menu.

Fun Facts

Just about everyone can use a good stretch on the calf muscles.  This E-cise not only stretches the calf muscles but forces the body to stay in perfect alignment while doing it, which in turn helps to align our spine correctly."
Static Extension Position,"How to Perform this E-cise™

Start on your hands and knees.
Move your hands about 6 inches forward and then move your upper body forward so that your shoulders are above your hands.
Your hips are now forward of your knees about 6 inches.
Keep your elbows straight and allow your shoulder blades to collapse together while your low back arches.
Drop your head.
Your low back arches because your hips roll forward to allow this movement to occur.
HOLD

Fun Facts

This exercise promotes lumbar and thoracic extension through bilateral hip demand."
Cobra on Elbows,"How to Perform this E-cise™

Lying on your stomach propped up on your elbows. Allow your heels to drop out to the side with your toes together.
Pull your hands away from each other, pivoting on your elbows. Allow your shoulder blades to collapse together as you continue to pull your hands apart.
HOLD this position and remember to relax your buttocks muscles.

Fun Facts

This exercise promotes proper lumbar extension through thoracic extension."
Assisted Hip Lift Position w/ Rocking Chair,"How to Perform this E-cise™

Lie on your back with your knees bent.
Arms out to your sides at 45 degrees, palms up.
Cross the ankle of one foot over to just above the knee of the other leg.
Keep the foot that is still on the ground pointed straight ahead.
Gently press the knee of the raised leg away from you and hold.
Use your hip muscles to press the knee forward.
Do not let the hips shift, maintain the external rotation of the thigh.
Roll the foot that is still on the floor forward onto the ball of the foot (raising the heel off the floor), then back to the heel (raising the toes off the floor).
Repeat as directed on your menu.
Switch legs and repeat as directed on your menu.

Fun Facts

This exercise promotes transferring the work of supporting the body from the primary hip flexors and erector muscles to the muscles of the legs."
Standing Abductor Presses,"How to Perform this E-cise™

Stand in a doorway or sideways against a wall with your feet pointed straight and hip width apart.
Your arms should be hanging down at your sides.
Your inside foot/ankle should be placed firmly against the doorjamb or wall; this is the ""working foot"".
Now press sideways against the wall/jamb and then release.
You will feel work in the opposite hip during this e-cise.
Keep your upper body straight but remember to let your stomach relax throughout the entire exercise.
Repeat as directed on your menu.

Fun Facts

This exercise promotes bilateral hip demand...one hip in an action demand, the other in a stability demand."
Frog Arm Glides,"How to Perform this E-cise™

Lie on your back
If directed to do so by your menu, place a towel under your lower back
Place the soles of your feet together
Center your feet along the mid-line of your body and let your knees relax down to the sides
Place your hands out from your shoulders with a 90 degree angle at your elbows
Glide both of your arms and hands along the floor so that your hands meet above your head
Return them to the beginning position and repeat as directed on your menu

Fun Facts

This exercise promotes scapular rotation while in lumbar extension."
Kneeling Counter Stretch - Modified,"How to Perform this E-cise™

Kneel down and place your forearms onto a chair or block
Back your knees away from the chair, allowing your upper body to drop through your arms
Before you drop your head between your arms, your hips should be ahead of your knees
Allow your spine to slowly drop to an arched position
You should feel tightness between your shoulder blades
Hold as directed on your menu

Fun Facts

Promotes thoracic extension under a pelvic load"
Active Bridges w/ Strap,"How to Perform this E-cise™

Lie on your back with your knees bent and your feet, hips and shoulders in line.
Your head, neck, shoulders and upper body should be relaxed at all times, keep your arms at 45 deg with palms up.
Place a strap around your legs just above the knees and keep light outward pressure on the strap throughout the e-cise.
Lift your hips off the floor as high as you can and slowly lower them back down.
Keep the motion as smooth and continuous as possible.
Repeat as directed on your menu.

Fun Facts

This exercise promotes proper bilateral extension of pelvis and spine."
Function Run,"How to Perform this E-cise™

Initiate your running by pulling your knee up in front of you toward your chest
Do not kick your leg up toward your buttocks
As your foot descends to the ground, your heel should hit first
Roll from your heel to the ball of your foot and then to your toes
Your pace should be very slow (treadmill speed would be approx. 2.0 - 2.5 mph)
Your torso should be upright, shoulders relaxed, abdominals relaxed and breathing
Keep your lower back arched
Continue as directed on your menu

Fun Facts

This form of running trains the body in the proper mechanics without allowing room for compensation movements."
Static Back Pull-over Presses w/ Strap,"How to Perform this E-cise™

Lie on your back with your legs up over a large block or chair, knees bent at 90 degrees
There should be a small pillow or block placed directly above your head at arms length
Place a strap around your thighs just above the knees at hip width and apply constant pressure outward against the strap throughout the e-cise
Relax your legs, lower back and stomach
Reach arms straight up above your chest, elbows locked and hands clasped together
Now lower your hands down to the block above your head
Press into the block, hold for the indicated time and then release
Do not contract your abdominal muscles, keep the stomach and lower back relaxed
Do not let your arms bend at the elbow, keep them straight throughout the e-cise
Repeat as directed on your menu

Fun Facts

This exercise engages spinal extensors. This Static Back position creates horizontal load between shoulder and pelvis, which contributes to thoracic extension by engaging the stabilizers and flexors of the hip. This position helps prevent compensation from occurring while performing other types of muscular work."
Static Back Pull-Overs w/ Strap,"How to Perform this E-cise™

Lie on your back with your legs up over a large block or chair, knees bent at 90 degrees
Place a strap around your thighs just above the knees at hip width and apply constant pressure outward against the strap throughout the e-cise
Relax your legs, lower back and stomach
Reach arms straight up above your chest, elbows locked and hands clasped together
Now lower your hands down to the floor above your head
Do not contract your abdominal muscles, keep the stomach and lower back relaxed
Do not let your arms bend at the elbow, keep them straight throughout the e-cise
If you are unable to lower your hands all the way to the floor behind you, go only as low as you are able while maintaining the straight arm position
Return to the starting position and repeat as directed on your menu

Fun Facts

This exercise re- establishes proper glide of the scapula to promote thoracic extension. This Static Back position creates horizontal load between shoulder and pelvis, which contributes to thoracic extension by engaging the stabilizers and flexors of the hip. This position helps prevent compensation from occurring while performing other types of muscular work"
Standing at Wall w/ Pillow,"How to Perform this E-cise™

Stand at a wall with your heels, hips, upper back and head against the wall
Place a small block or pillow between your knees
Apply gentle pressure, just enough to hold the pillow in place; do not push into it
If you cannot get your head against the wall without straining then hold it in a relaxed position; do not force it
Relax your stomach and your arms and allow your body to adjust to this new position
Remember to keep your feet pointed straight ahead and your stomach relaxed throughout the e-cise
Hold as directed on your menu

Fun Facts

This exercise promotes proper positioning of all load joints with the wall as the map."
Standing at Wall,"How to Perform this E-cise™

Stand at a wall with your heels, hips, upper back and head against the wall
If you cannot get your head against the wall without straining then place it in a relaxed position; do not force it
Relax your stomach and your arms and allow your body to adjust to this new position
Remember to keep your feet pointed straight ahead and your stomach relaxed throughout the e-cise
Hold as directed on your menu

Fun Facts

This exercise promotes proper positioning of all load joints with the wall as the map."
Sitting Assisted Hip Lift,"How to Perform this E-cise™

Sit in the middle of a chair with your feet pointed straight ahead, 4-6 inches apart.
Roll your pelvis forward to place a small arch in your low back and hold this position throughout the e-cise.
Cross one foot over the opposite knee.
Using the hip muscles, press down the knee of the crossed leg toward the floor and hold.
You should feel this stretch the lateral hip of the crossed leg and some in your low back from holding the arched position.
Switch legs and repeat.

Fun Facts

This exercise promotes opposite hip stabilization through rotation of the femur."
Cross-Crawling,"How to Perform this E-cise™

Lie on your back with both of your legs stretched out and your arms resting beside your body(palms down).
Simultaneously, raise one arm and the opposite leg. The arm remains locked straight as you take it overhead and the opposite leg is bent at the knee joint as you pull that knee up toward your chest.
After you have lifted them up, return them back to the floor and switch sides.
REPEAT

Fun Facts

This exercise promotes proper flexion of both hip and shoulder simultaneously."
Frog Pull-Overs,"How to Perform this E-cise™

Lie on your back with your knees bent.
Place the bottoms of your feet together and allow your knees to fall out to the sides(frog position).
Interlace your fingers together and place your hands above your chest with your elbows locked out straight.
Take your hands toward the floor above your head and then return them to above your chest. The key is to not bend your elbows and if your back arches when your hands are headed toward the floor, then that is as far as you allow your hands to drop.
REPEAT

Fun Facts

This exercise promotes proper scapular rotation while in lumbar extension."
Standing Overhead Extension Forward Bend,"How to Perform this E-cise™

Stand with your feet pointing straight and hip width apart.
Interlace your fingers together and reach your arms overhead, pressing your hands to the ceiling with palms up.
Look up toward your hands and keep your arms straight, do not bend at the elbow.
While in this position roll your hips forward to place an arch in your low back.
Bend forward allowing the hips to dictate how far over you bend.
Be sure to maintain the arch in your low back and keep your elbows straight.
Hold as directed on your menu.

Fun Facts

This exercise promotes proper positioning of the shoulder over the hip while engaging all of the extensor muscles of the spine and the primary hip flexors."
Supermans,"How to Perform this E-cise™

Lie on your stomach with your arms outstretched overhead
Simultaneously lift your arms/hands and legs/feet up about six inches off the floor
It should feel as if you are reaching and lifting in both directions (forward with the arms, backward with the legs)
Hold as directed

Fun Facts

This exercise promotes engagement of the extensors of the trunk, pelvis, and legs"
Static Wall Pull-over Presses,"How to Perform this E-cise™

Lie on your back with your legs pointed straight up and against the wall, upper body relaxed with arms out to sides at about 45 degrees and palms facing up
When getting into this position, get your hips as close as possible to the wall, so once you are in position your butt is also as close as possible to the wall
If your hips are lifting off the floor then scoot your butt back until you are able to place your hips flat. As you get more functional, your hips will sit closer to the wall and be flat on the floor at the same time
In this position tighten your thighs and pull your toes down and back toward you
Your feet must be pointed straight for your hips to properly do the needed work to stabilize your spine
There should be a small pillow or block placed directly above your head at arms length
Reach arms straight up above your chest, elbows locked and hands clasped together
Now lower your hands down to the block above your head
Press into the block, hold for the indicated time and then release
Do not contract your abdominal muscles, keep the stomach and lower back relaxed
Do not let your arms bend at the elbow, keep them straight throughout the e-cise
Bring your arms back up above your chest after each set of ten
Repeat as directed on your menu

Fun Facts

This exercise promotes bilateral hip and lumbar flexion to re-establish the muscular chain between the trunk and pelvis with an emphasis on increased activity of the spinal extensors."
Flexion Abdominals,"How to Perform this E-cise™

Lie on your back with your feet on the wall.
Your hips should be 4 to 6 inches from the wall.
Your feet should be parallel and pointed straight up.
Both your feet and knees should be kept hip width apart throughout the e-cise.
Interlace your fingers together behind your head.Interlace your fingers together behind your head.
Keep your elbows back, pointed out to the sides at all times.
Look up and behind you at the ceiling.
Use your abdominal muscles to lift your chest and shoulder blades about 2 inches off the floor.
Repeat as directed on your menu.

Fun Facts

This exercise encourages proper function of the hip flexors and lumbar flexors by taking the hip joint to the extreme range of flexion."
Active Cobra Wishbone,"How to Perform this E-cise™

Lie on your stomach propping your head and chest up on your elbows
Hold your head up, looking straight ahead
Bring your knees together and keep them together throughout the e-cise
Pull your hands apart so your shoulders relax and your hands are outside of your elbows
Your thumbs should be straight and pointing toward the ceiling (hands closed in loose fists)
Your forearms should be in contact with ground
Your elbows should be shoulder width or just wider than shoulder width apart
Flex your feet and point your toes to the floor
Pull your feet apart and sideways to create a wishbone shape with your feet and knees
Hold this position as instructed on your menu

Fun Facts

This exercise promotes forced internal rotation of femur on an extended pelvis and spine."
Wall Towels,"How to Perform this E-cise™

Stand at a wall with your feet pointed straight and hip width apart.
Your heels should be about 3 inches from the wall.
Your head, upper back and butt should be against the wall.
Place a roll behind your low back and another behind your neck.
Hold as directed on your menu.

Fun Facts

The towels remind our spine of its natural ""S"" curve that is lost when we sit for long periods during the day."
Standing Abductor Presses w/ Strap,"How to Perform this E-cise™

Stand with your feet pointed straight and hip-width apart.
Place a strap around your thighs just above the knees.
Your arms should be hanging down at your sides.
Without bending your knees, place light pressure outward against the strap (as if trying to spread your knees apart but the strap will not allow them to); then release.
Do not try to press too hard outward.
Repeat as directed on your menu.
Let your stomach relax throughout the entire exercise

Fun Facts

This exercise promotes bilateral lumbar demand through lateral hip stabilization."
Assisted Hip Lift w/ Rocking Chair,"How to Perform this E-cise™

Lie on your back with your knees bent.
Arms out to your sides at 45 degrees, palms up.
Cross the ankle of one foot over to just above the knee of the other leg.
Keep the foot that is still on the ground pointed straight ahead.
Gently press the knee of the raised leg away from you and hold.
Use your hip muscles to press the knee forward.
Do not let the hips shift, maintain the external rotation of the thigh.
Roll the foot that is still on the floor forward onto the ball of the foot (raising the heel off the floor), then back to the heel (raising the toes off the floor).
Repeat as directed on your menu.
Switch legs and repeat as directed on your menu.

Fun Facts

This exercise promotes transferring the work of supporting the body from the primary hip flexors and erector muscles to the muscles of the legs."
MFB - Wishbone,"How to Perform this E-cise™

Lie on your stomach in the Modified Floor Block position
Your feet should be pigeon-toed and your buttocks relaxed
Elevate your bent arms 4 to 9 inches by placing your forearms and elbows on blocks
Bend both knees to a 90 degrees angle and flex your toes down toward the floor.
Holding that position with your inner thighs touching, allow your ankle to drop away from each other in a slow controlled manner.
Once they have reach the end of their range of motion maintain the 90 degree angle at your knee for the duration specified on your menu.
Reverse the steps to come out of the exercise.

Fun Facts

This exercise promotes pelvic and lumbar extension by way of the rotation of the femur (thigh bone)."
Counter Stretch - Modified,"How to Perform this E-cise™

Stand facing a wall or stable doorway.
Any stable object can be used if it is about chest high.
Cross your arms with one forearm stacked on top of the other and place them about chest high on the wall or object.
Keep your feet pointed straight ahead.
Walk your feet back so that your weight is in your toes.
Keep the hips, knees and feet in alignment.
Kick your buttocks/hips back to place an arch in your lower back and tighten your quads.
Hold as directed on your menu.

Fun Facts

Sitting at a desk causes our spine to round and our knees to flex. This E-cise is helpful in lengthening the whole back line of the body."
Standing Hamstring Curls,"How to Perform this E-cise™

Stand facing and holding onto a doorjamb or pillar for support. Your feet should be pointing straight and hip width apart.
Tilt your hips under to flatten the low back and hold this position throughout the entire e-cise.
Lift one foot off the floor and try to touch your buttocks by using your hamstring muscles and then return it to the floor.
Relax your upper body.
Do not allow the hip on the support leg to jut out sideways.
Repeat as directed on your menu and then switch legs.

Fun Facts

This exercise promotes equal loading of the pelvis and lumbar extension."
Core Abdominals,"How to Perform this E-cise™

Position 1-Lie on your stomach propped up on your elbows, your elbows should be directly under your shoulders.
Tuck your toes under and bridge your body off the floor.
Without moving your elbows, pull your hands apart and let your shoulder blades collapse together.
Position 2-3- Lie on your side propped up on your elbow with the other arm resting along your body and your feet stacked on top of each other.
Lift your hips up off the floor and let your shoulder blades come together.
Position 4-Lie on your back propped up on your elbows.
Flex your feet so you toes point to the ceiling and contract  your thighs.
Lift your hips/buttocks up off the floor keeping your toes pulled back and feet straight.
As you lift your hips off the floor, try to think about pushing your chest to the ceiling and allowing your shoulder blades to come together.

Fun Facts

This exercise promotes load joint stabilization in a horizontal plane."
Hand-Leg Opposite Blocked - Pressdowns,"How to Perform this E-cise™

Lie on your stomach with one arm and the opposite leg propped up on 6 inch blocks/pillows
Your forehead should be down on the floor
The arm and leg that are not on blocks should be extended
The block supporting your leg should be placed under the knee
The block supporting your arm should be placed between your elbow and wrist
Bend the knee of the propped up leg and press that knee down into the pillow and release
The knee should be bent to a 90 degree angle
The foot of the bent knee should be flexed
Repeat as directed on your menu, then switch sides and repeat

Fun Facts

Promotes alternate shoulder and hip stabilization"
